Sample,Group,(-)-Gallocatechin-3-O-gallate,(2R)-2-Hydroxy-3-butenyl glucosinolate,"(9Z, 12Z)-Octadecadienoate","1,2-Disinapoyl diglucoside",102FTA,10-Deacetyl-7-xylosylpaclitaxel,13-Methylberberine,1-O-p-Coumaroylglycerol,"2',4,5'-Trihydroxychalcone","2,6-Dichloro-4-nitroaniline","2-[(4,6-diamino-1,3,5-triazin-2-yl)thio]-Ethanesulfonic acid",2-Amino-3-phosphonopropionate,4-Methylsulfinyl-3-butenyl glucosinolate,4-Nitrophenyl phosphate,62FTA,73FTA,7-epi-Paclitaxel,Acetylendicarboxylate,Apigenin,Apigenin 7-O-glucuronide,Apiopaeonoside,Argininosuccinate,Baccatin I,Benzimidazole,Bergapten,Bestatin,b-Hydroxypropionate,Blasticidin S,Brevifoliol,Catechin-(4alpha->6)-gallocatechin,Chloratranol,Chlorogenate,Cyanidin 3-(6''-acetyl)galactoside,Cyanidin 3-(6''-p-coumarylsophoroside)-5-glucoside,Cyclo(Pro-Phe),Cytosine arabinoside,Daidzein,D-Ala,Daminozide,Daunorubicin,Diflunisal,Dimethyl lithospermate,discorhabdin G,Ethionamide,Florasulam,Fomesafen,Galacturonate 1-phosphate,Gancaonin M,Gangaleoidin,Geyerline,Gibberellate,Ginsenoside Ro,Glabrol,Glabrone,GlcNAcThrNAc,Gluconapoleiferin,Glu-Glu,Glutathione (oxidised form),Glycyrrhetinate,Glycyrrhizate,Hedysarimcoumestan A,Herbacetin 8-O-xylose-3-O-glucose,Homocystine,Homoeriodictyol,Isoliquiritin apioside,Kutkoside,L-Cystine,L-Homocystine,Loganate,Loperamide,L-Saccharopine,Lucidenic acid F,Microcolin B,Morin,Naringenin,Naringenin-7-O-neohesperidoside,N-Glycolylneuraminate,nPFOA,Octopine,Oleandomycin,Pelargonidin 3-O-rutinoside,Pinoresinol-4-O-glucoside,Posthumulone,Purine,"Quercetin-3,4'-O-di-beta-glucopyranoside",Quercetin-3-O-beta-galactoside,Ribostamycin,S-Adenosylmethionine,Sanguinarine,Scopularide D,Scutellarein-7-glucuronide,Sorbitol 6-phosphate,Suffruticoside C,Taxinine A,Taxinine M,Taxuspine F,Thiamine monophosphate,Thifensulfuron-methyl,trans-Cinnamate,TRH,Trp,Vincristine,Zearalanone,Zeaxanthin
A172_R_1,Resistant,431300552.1,23140.770547125,807745.468933124,1072610.791554,654043.582988437,921670.388036246,88174.1704286252,4282270.81613362,20967060.33181,55110.5898159375,2436935950.0,1493253.95116031,30075.421149375,6747534.09690244,1479543.2978625,220906.696295437,120317.704029937,137708159.396587,23367251.5429655,181437.62194725,38607.830912625,294166.8803325,4156435808.0,2492378.70201525,329067808.1,326320.253784375,307088433.132026,1342167436.0,3878741274.0,134040725.9,4860263.72857013,1966123.53607875,1042151988.0,65994126.96,242270477.7,387474.974257499,30671081.46,667704435.2,4642913.88457069,2465983045.0,47850769.6974314,137981.894492062,3673728983.0,11985826.6865753,22122854.17,787679.986029376,1270993.81123575,23771.8373156251,14668.8507913125,1469758004.0,37085.0883573749,270748.498366875,1344269.178795,27114.01112625,806334375.5,333660.47895375,362587.516746188,377463133.6,1898257.30612219,736747.361853376,4123.10559750008,199997.745725625,105613.983770625,4474598.83952252,2542538.23385663,549217212.9,8768268.92659802,461.569832625001,220746.40932375,55341043.55,47466162.33,79174.499788125,374936766.0,151939591.5,152283.475193437,1014857.7334305,408133.435813125,1131686.03121356,366994.3526265,15955478.97,4993295073.0,39823.1090062499,1816829.12730019,144843974.6,40070.8615263749,1391263680.0,10466964.7681564,3573622564.0,214127074.2,31151882.44,974413.725421124,555491.322232126,2737422.67066069,204822597.0,1361505.55061344,6219244549.0,185272.830186375,699175692.4,808628.390083312,388915.9116825,1420881.42486712,208038175.1,259241.519844376,226452796.4
A172_R_2,Resistant,172196357.9,96918.6651643126,2786495.64862032,1327316.60568862,1192730.93106375,330942.15156375,106248.219251625,5260650.90117825,24708612.6708682,48135.4980245624,4085636421.0,1554989.95996313,25953.646310625,7641127.94635125,1680889.81619625,267790.893598312,93254.8980967499,120561810.471374,38958362.3932487,243468.65448,55328.9885026875,422064.8073225,15709724.32,2364630.24160275,7712546875.0,413968.8672645,333034475.562254,531986756.0,4710020591.0,27296654.43,18136523.9933454,2369752.79791875,423644292.2,23275797.49,180127688.0,131567.612611877,36997300.66,4848117428.0,5266359.45582449,4185597856.0,43392610.121946,224016.76195275,5942121021.0,11588640.9608027,38831299.71,313530.451773751,2048656.63289269,28570.9408143749,41702.227574625,1940771.33,53602.9589426251,320198.098064062,559364.264855627,95409.2027849999,300084946.4,461296.573573125,589667.055346125,139015532.3,1267775.24300587,968111.964073687,34098.5696456251,275049.37180875,161565.00242625,4829971.06002376,3278216.23041881,184573750.1,9874609.02233869,564114.439306875,258175.03856625,19867998.45,42099834.54,390967.459155003,2548547299.0,123499443.8,160101.075565875,1152485.90901337,172447.015245,1493314.79134406,432862.22292675,9471716801.0,7020143.82,70762.532588625,1183639.13352787,183282272.4,7557.2327426251,553055220.1,9596235.86169375,5993494699.0,361695701.2,2096246129.0,1545285.43820456,936648.43803825,3512773.12558969,83443956.89,1745413.27637362,9172897528.0,243637.576313063,496625056.6,975243.614881312,141165.95586375,1532226.77022956,7277777637.0,169847.576120625,89357365.04
A172_R_3,Resistant,104650799.2,234037.217547562,5605427.58868087,1622822.69886263,1264501.24047694,436337.12865375,86879.7582048749,2109101.54082093,25965904.9408836,30693.9906871873,1067706621.0,1008981.16617188,14003.1585787499,5589115.43206443,2230715.12340375,237273.34716075,56109.3224098128,105211754.934391,45948871.9089904,209481.439438687,37783.8001064999,389527.662821251,1302210216.0,1718175.69025331,7966616837.0,278554.260758062,261212785.002628,321962899.5,5218653947.0,18600092.29,16665122.8769677,2278653.48658499,247545321.5,12976193.93,76276783.47,234671.929235625,9712273304.0,4205155313.0,3742366.90707863,1999738427.0,42625141.0917254,200574.142209187,2490529.19,10000431.4771671,8618485885.0,546824.3236875,1517414.50576013,28510.55055375,128448.766812562,1547907056.0,31350.1899759376,383131.446023064,958440.232475625,154700.3616975,188952011.9,433317.578158126,432167.442350438,82277763.02,903365.176411878,1093622.37722625,63612.4870031251,266901.634835438,111865.7621025,5131813.77246561,3381165.51762264,113998541.3,9502903.61307732,599190.752283188,248847.268409999,14536152.72,18918091.54,505370.9675025,3755499634.0,33893728.34,115248.172912125,1222828.07528176,178601.591345625,1606454.49064463,320495.147189437,1106218117.0,4308450294.0,61792.8128336249,828676.825191941,63035980.38,12740.6800726874,337341194.0,9943448.68485696,2454911778.0,79899646.32,2044656379.0,1470571.76611331,1083410.82591882,2154043.04076319,49664788.8,2007520.31358694,5136673731.0,155228.298281437,294077898.1,831005.726725124,237267.84530625,1382578.99733588,4807561717.0,197268.595333125,53474390.83
A172_R_4,Resistant,109467119.9,200995.359027563,7692679.07098425,1373331.6320535,1810167.91324294,366214.485721876,120321.148809375,4542581.52050945,31185415.6285623,24875.1515473126,3646648496.0,1288828.23544875,32850.2203649999,9924460.95932193,1269129.28744312,295556.68452075,44421.2205103124,101814732.566282,59840898.4170629,380763.446518875,115795.588968,533073.702262501,4211990161.0,2268104.71751513,117007100.2,566259.645051374,362700686.828729,187380056.5,3758266157.0,26822364.57,29027363.6557176,2908465.22501062,193495560.6,15866355.92,112767679.9,197524.215690001,29435237.58,276714202.7,4085780.88904594,5056856183.0,37436621.6190151,502852.766467501,9017355914.0,12021797.627748,30272065.74,420765.820876875,1447002.23278012,17802.984406875,129987.266321437,12364373.2,40373.73978075,319304.105503124,770472.961203749,191610.0032475,197828791.0,605741.687401876,417417.91326225,137531679.2,659685.512838749,1005018.32644762,8368.95924937503,285312.522880313,65028.9956681247,3756107.48448188,3536271.53788762,119492730.8,9361936.12281957,57857.3261223751,294116.122408124,28217654.0,42333149.0,190716.794081251,3245897579.0,127292752.7,176533.414755375,871949.914467563,223789.675314375,1681860.48233925,603615.209448374,3695889269.0,25948680.49,162159.594408563,633781.233313124,266699127.6,9539.105535375,355732414.1,7457100.54337611,9414649962.0,297616275.7,6238476326.0,2127815.79149775,1748035.24987837,4145016.5065485,37859988.5,1918574.52420562,27346634.54,332419.936472062,183558488.1,1586299.01403694,243478.176371251,2361900.40757906,2288186732.0,160050.6789,96093860.31
A172_S_1,Sensitive,213912904.4,24961.3677763124,1262445.91977993,2104292.32384669,2041119.3116955,812242.793949374,163912.38411375,7336659.14541225,36853401.9831055,3441362.76237394,3282543616.0,3752245.87098074,48352.0381612499,15582933.3723134,2026488.4601869,562929.323635687,78157.2070693129,168017603.250945,63235099.9243221,224547.180820125,139331.398308001,458780.069330625,3004368199.0,6410738.17912537,146903010.9,1017143.36497275,156090621.659464,708318923.9,4199190595.0,35717096.19,383.0497126875,4964464.76181374,554443627.5,33171769.1,153814816.7,346254.997006875,27750458.77,15698811.22,5646901.028886,5210186496.0,57036966.6361011,170342.061489562,4863379085.0,21198782.5224793,30995568.23,584592.424749376,1195707.67734731,67382.6630249999,43583.245610625,1849660388.0,123026.928033562,501633.956833125,999139.89340125,15577.3151700003,364138093.6,476837.185282499,338291.292656437,353170408.7,1166774.71236469,1480781.89407844,121802.23236,433579.796972626,205631.79720375,7989488.45846814,4698338.34155213,229924141.8,13782220.662007,878509.808960439,498442.856038124,63848385.09,39228583.99,405853.523608125,4614018923.0,85192712.17,279211.155717376,1563223.66711688,230049.692716875,2029714.33710188,903026.45117644,1185804068.0,5915136571.0,53901.548206125,1108047.62414081,167833622.6,51912.0912667504,716110941.8,11477584.2415035,5092674625.0,293821223.5,2776484532.0,2429475.06019688,1629602.91177244,4639721.43059606,105098638.9,2769200.52140269,7342669221.0,637947.651546002,584321593.6,1087628.92108481,292723.424379376,110712.819683438,1634666555.0,295045.257718125,245244447.4
A172_S_2,Sensitive,283164646.3,745.72148887501,166773.897403125,1168421.31849506,779573.695480316,290704.629322496,61207.9695121876,4222831.53216019,22180981.3856504,2187374.96609081,4034272379.0,1030601.87794612,37496.876491875,9410942.85585394,3703190.55744375,221337.837049313,119359.680341812,127492046.095666,27207965.3508783,80818.0023345001,78725.5558736251,143700.516766875,4778976341.0,1935618.39817819,398551294.8,545129.979117938,44264653.7126002,802417951.3,4621074187.0,27018057.62,189933.939811837,1885420.91316,717206667.9,40081473.95,359221668.5,344139.251941874,39955827.77,8172193825.0,4167890.50484531,3100775846.0,45118182.6499349,42687.3965750626,46223415.05,11563202.9724709,70406184.51,833654.263470004,1370411.85295856,11388.0396581247,5994.72539118751,66536892.17,21654.3043994999,293374.262290875,1454569.38030563,2379.14929687501,500998249.1,163281.239475,399752.20971375,253306716.7,1612293.95156587,764539.247691187,111480.45597375,175925.190736311,188856.7229475,7481501.53707193,2820077.2557105,324322692.2,8503880.90635571,441052.070576624,216075.9836025,55447352.18,47362078.38,727506.601168127,17414871.8,180137046.0,199627.046794313,1040418.19293562,271174.775148749,1245919.50545362,565349.680259438,1536166186.0,158475271.8,12496.164958875,1570090.69521187,91024920.79,34321.8523113751,921603780.6,10095320.2435822,49799249.2,613059484.5,3665588447.0,1178702.38221713,720802.814107499,3717910.17565387,141769088.4,1538340.07129725,172120996.0,301393.479668625,689143296.8,514702.820987814,238177.330074371,55012.8584484374,44151282.0,343251.975418125,163346020.1
A172_S_3,Sensitive,276091040.3,2444.949818625,273359.475881062,1217730.75623194,1054978.60876987,607708.61016375,97301.9040648749,4864063.69102256,22821128.0140659,2119789.30272244,2324344952.0,1775311.19599519,33088.746125625,8567710.82587801,3335496.837855,409951.874505562,84902.6237617499,101341023.91031,35374959.1377223,130372.854019313,82304.7485576251,261969.286141874,2515185674.0,2682817.38668869,231716585.4,488450.321968313,114664672.684611,803259814.9,3076863449.0,46451315.3,156932.696290312,3456099.82472438,675553972.6,37162953.45,124845486.7,317437.796497499,21113710.02,12578673.01,2913873.78149025,3834386.95,39639350.5301115,104072.179375875,17964605.81,9447355.45150049,22010319.4,657535.182856875,903594.759705375,43387.5202331249,6663.85639687503,27387119.56,87043.1835770627,301943.623353375,1175015.22631875,3422.65262999999,492660838.6,299644.0388475,254955.367920937,215224325.7,1109035.08266006,845438.936061561,87713.606713125,222776.807386125,153393.1244325,7454783.05395372,2789937.01343643,284637844.3,8661353.76668625,500819.649198187,368413.252393126,42789726.65,27297323.65,591510.111939377,7318186.21,66663701.36,169552.097708438,994777.491522374,217554.67741125,1317147.17287012,515124.670904063,1453560.15,62961185.7,32618.7611068126,1030193.28273525,118587319.3,22976.9482841251,891077752.4,8928958.6984303,19506995.39,205607721.5,3242077534.0,1398605.96522812,843367.746216374,4745529.12810431,133769517.6,1588019.03078362,66449738.45,281497.560676126,762135669.2,663842.929579501,309560.229436875,49638.3598545,1088083908.0,267877.7143875,146084601.9
A172_S_4,Sensitive,253037519.3,182133.149229937,201320.210542312,1257475.77332381,1137056.403249,563008.404583127,143263.74171375,4884408.096255,25360941.4504562,2488008.5436975,3704179910.0,1775535.37696763,37030.3824975,11755092.7556329,1431231.18481129,462148.502584312,65786.9667866248,98072971.1589167,36671597.7141219,230542.520907188,150002.091845625,397586.032464375,4136106376.0,3422859.37751269,218439028.5,756146.552096064,141145587.952291,768440819.7,3233093794.0,43189744.24,231914.357175563,4983437.33810062,669409189.7,35312549.54,193436274.3,310466.716933126,26539560.18,6768594596.0,3003241.27110131,4210612789.0,39399841.8162073,225137.727253125,15260841.39,9802887.30043875,35561808.83,510553.263403122,923380.180365563,71754.73049625,404.605636500007,19102607.68,115467.24165225,285020.291798625,900813.481162497,9455.67687000003,460174269.3,468454.05600375,264292.309524563,202972051.6,1093058.41949062,913111.562051811,75563.0235750001,234809.486484001,150049.192441875,6536540.90348251,3015103.35592181,288008047.1,8989505.61622821,609582.76387575,513298.027169999,40183142.57,41624013.23,604147.738871251,5072276867.0,80830214.14,231864.749484938,956817.402145501,189055.8417375,1418026.98183881,776514.448302189,1601190.77,46012146.8,75288.85687725,1002298.52337806,1051159568.0,18522.2755494374,831204738.0,8614184.08886625,15769994.18,321806710.9,3509866339.0,1579972.47155644,1090482.793341,9102454.3240978,132026920.0,1640166.94244944,50309001.75,419502.741401813,708306251.0,955542.006023625,203869.9298625,118843.060915125,135675329.0,223007.049601875,136818310.0
