"metabolite","t_score","p_value","fdr_p","neg_log10_p","significant","log2FC"
"Gluconapoleiferin",1.27066047862704,0.250892433534008,0.555166235905039,0.60051243603086,FALSE,0.33465
"Glu-Glu",1.75160956887125,0.130399962398878,0.441959068104087,0.884722533833868,FALSE,0.47047
"Glutathione (oxidised form)",-1.3421477358741,0.22810323301244,0.532067435565091,0.641868559223517,FALSE,-0.39823
"Glycyrrhetinate",-0.365225923419411,0.727471810322023,0.832721527484527,0.138183831013933,FALSE,-0.091849
"Glycyrrhizate",-0.403205744137104,0.700771910167129,0.828184984742971,0.154423314807882,FALSE,-0.054621
"Hedysarimcoumestan A",-2.79394927583289,0.0314134927304801,0.272250270330828,1.50288377359055,FALSE,-1.8426
"Herbacetin 8-O-xylose-3-O-glucose",0.00500094864958404,0.996171964733883,0.996171964733883,0.00166568478060795,FALSE,-0.0089302
"Homocystine",-1.94250131226165,0.100094178833312,0.441959068104087,0.999591179005023,FALSE,-0.65406
"Homoeriodictyol",-2.70770883079854,0.0352131544715453,0.281705235772363,1.45329506813569,FALSE,-0.72617
"Isoliquiritin apioside",-0.515931692315309,0.624355968733141,0.796278954728202,0.204567732147894,FALSE,-0.061767
"Kutkoside",-0.805733213781207,0.45113983460149,0.670264897122213,0.345688824013305,FALSE,-0.23287
"L-Cystine",-0.617919244470333,0.559336772763293,0.745782363684391,0.252326627689091,FALSE,-0.07995
"L-Homocystine",-1.43588980482571,0.201049918329846,0.516037825255503,0.696696098979396,FALSE,-0.96248
"Loganate",-1.91608944059523,0.10382757026575,0.441959068104087,0.983687309065514,FALSE,-0.68987
"Loperamide",-2.01799632281907,0.090150291542729,0.441959068104087,1.04503286444692,FALSE,-0.74195
"L-Saccharopine",-0.271496784502303,0.795108569606086,0.879694587649287,0.0995735657315732,FALSE,-0.1113
"Lucidenic acid F",-1.83013759144432,0.116965831013656,0.441959068104087,0.93194098927531,FALSE,-1.1254
"Microcolin B",1.16387448121301,0.288659308426314,0.59849036989066,0.539614433200855,FALSE,0.025787
"Morin",-0.0374280344298126,0.971357930692059,0.988702928924197,0.0126207096584692,FALSE,-0.0052283
"Naringenin",-2.61850598358413,0.0396655596034303,0.294658442768339,1.40158641428925,FALSE,-0.57184
"Naringenin-7-O-neohesperidoside",-0.481004687847682,0.647550865368504,0.801729642837195,0.188726111908907,FALSE,-0.070766
"N-Glycolylneuraminate",0.038965323843487,0.970182189696994,0.988702928924197,0.0131467022798517,FALSE,0.097002
"nPFOA",-0.210628127508574,0.84014849372273,0.919741508917515,0.0756439469085517,FALSE,-0.036885
