ID,A172_R_1,A172_R_2,A172_R_3,A172_R_4,A172_S_1,A172_S_2,A172_S_3,A172_S_4
Naringenin-7-O-neohesperidoside,1014857.7334305,1152485.90901337,1222828.07528176,871949.914467563,1563223.66711688,1040418.19293562,994777.491522374,956817.402145501
N-Glycolylneuraminate,408133.435813125,172447.015245,178601.591345625,223789.675314375,230049.692716875,271174.775148749,217554.67741125,189055.8417375
nPFOA,1131686.03121356,1493314.79134406,1606454.49064463,1681860.48233925,2029714.33710188,1245919.50545362,1317147.17287012,1418026.98183881
Octopine,366994.3526265,432862.22292675,320495.147189437,603615.209448374,903026.45117644,565349.680259438,515124.670904063,776514.448302189
Oleandomycin,15955478.97,9471716801.0,1106218117.0,3695889269.0,1185804068.0,1536166186.0,1453560.15,1601190.77
Pelargonidin 3-O-rutinoside,4993295073.0,7020143.82,4308450294.0,25948680.49,5915136571.0,158475271.8,62961185.7,46012146.8
Pinoresinol-4-O-glucoside,39823.1090062499,70762.532588625,61792.8128336249,162159.594408563,53901.548206125,12496.164958875,32618.7611068126,75288.85687725
Posthumulone,1816829.12730019,1183639.13352787,828676.825191941,633781.233313124,1108047.62414081,1570090.69521187,1030193.28273525,1002298.52337806
Purine,144843974.6,183282272.4,63035980.38,266699127.6,167833622.6,91024920.79,118587319.3,1051159568.0
"Quercetin-3,4'-O-di-beta-glucopyranoside",40070.8615263749,7557.2327426251,12740.6800726874,9539.105535375,51912.0912667504,34321.8523113751,22976.9482841251,18522.2755494374
Quercetin-3-O-beta-galactoside,1391263680.0,553055220.1,337341194.0,355732414.1,716110941.8,921603780.6,891077752.4,831204738.0
Ribostamycin,10466964.7681564,9596235.86169375,9943448.68485696,7457100.54337611,11477584.2415035,10095320.2435822,8928958.6984303,8614184.08886625
S-Adenosylmethionine,3573622564.0,5993494699.0,2454911778.0,9414649962.0,5092674625.0,49799249.2,19506995.39,15769994.18
Sanguinarine,214127074.2,361695701.2,79899646.32,297616275.7,293821223.5,613059484.5,205607721.5,321806710.9
Scopularide D,31151882.44,2096246129.0,2044656379.0,6238476326.0,2776484532.0,3665588447.0,3242077534.0,3509866339.0
Scutellarein-7-glucuronide,974413.725421124,1545285.43820456,1470571.76611331,2127815.79149775,2429475.06019688,1178702.38221713,1398605.96522812,1579972.47155644
Sorbitol 6-phosphate,555491.322232126,936648.43803825,1083410.82591882,1748035.24987837,1629602.91177244,720802.814107499,843367.746216374,1090482.793341
Suffruticoside C,2737422.67066069,3512773.12558969,2154043.04076319,4145016.5065485,4639721.43059606,3717910.17565387,4745529.12810431,9102454.3240978
Taxinine A,204822597.0,83443956.89,49664788.8,37859988.5,105098638.9,141769088.4,133769517.6,132026920.0
Taxinine M,1361505.55061344,1745413.27637362,2007520.31358694,1918574.52420562,2769200.52140269,1538340.07129725,1588019.03078362,1640166.94244944
Taxuspine F,6219244549.0,9172897528.0,5136673731.0,27346634.54,7342669221.0,172120996.0,66449738.45,50309001.75
Thiamine monophosphate,185272.830186375,243637.576313063,155228.298281437,332419.936472062,637947.651546002,301393.479668625,281497.560676126,419502.741401813
Thifensulfuron-methyl,699175692.4,496625056.6,294077898.1,183558488.1,584321593.6,689143296.8,762135669.2,708306251.0
trans-Cinnamate,808628.390083312,975243.614881312,831005.726725124,1586299.01403694,1087628.92108481,514702.820987814,663842.929579501,955542.006023625
TRH,388915.9116825,141165.95586375,237267.84530625,243478.176371251,292723.424379376,238177.330074371,309560.229436875,203869.9298625
Trp,1420881.42486712,1532226.77022956,1382578.99733588,2361900.40757906,110712.819683438,55012.8584484374,49638.3598545,118843.060915125
Vincristine,208038175.1,7277777637.0,4807561717.0,2288186732.0,1634666555.0,44151282.0,1088083908.0,135675329.0
Zearalanone,259241.519844376,169847.576120625,197268.595333125,160050.6789,295045.257718125,343251.975418125,267877.7143875,223007.049601875
Zeaxanthin,226452796.4,89357365.04,53474390.83,96093860.31,245244447.4,163346020.1,146084601.9,136818310.0
