"name","class","p_value","log2FC","significant","hmdb_id"
"GlcNAcThrNAc","Carbohydrate metabolism",0.420926466925033,-0.30509,FALSE,NA
"Glabrol","Secondary metabolite/Terpenoid",0.428673357324002,-0.35956,FALSE,NA
"Florasulam","Xenobiotic/Drug metabolism",0.442937292167396,5.7178,FALSE,NA
"Kutkoside","Secondary metabolite/Terpenoid",0.45113983460149,-0.23287,FALSE,NA
"2-[(4,6-diamino-1,3,5-triazin-2-yl)thio]-Ethanesulfonic acid","Fatty acid/Lipid metabolism",0.457985625066951,-0.35385,FALSE,NA
"Cyclo(Pro-Phe)","Other/Unclassified",0.478474130635931,-0.51515,FALSE,NA
"Brevifoliol","Terpenoid/ Taxane biosynthesis",0.483938766228738,0.18345,FALSE,NA
"Taxinine M","Terpenoid/ Taxane biosynthesis",0.487832206846849,-0.082104,FALSE,NA
"D-Ala","Amino acid metabolism",0.507577246442417,-0.83663,FALSE,NA
"Scutellarein-7-glucuronide","Flavonoid biosynthesis",0.541240688498908,-0.11968,FALSE,NA
"Ginsenoside Ro","Secondary metabolite/Terpenoid",0.553640796215831,-0.069217,FALSE,NA
"L-Cystine","Amino acid metabolism",0.559336772763293,-0.07995,FALSE,NA
"1,2-Disinapoyl diglucoside","Carbohydrate metabolism",0.59461943845824,-0.068755,FALSE,NA
"Purine","Amino acid metabolism",0.602380759153061,-1.4161,FALSE,NA
"Isoliquiritin apioside","Flavonoid biosynthesis",0.624355968733141,-0.061767,FALSE,NA
"2',4,5'-Trihydroxychalcone","Flavonoid biosynthesis",0.627982641798172,-0.072049,FALSE,NA
"13-Methylberberine","Other/Unclassified",0.635491858100392,-0.23074,FALSE,NA
"Naringenin-7-O-neohesperidoside","Flavonoid biosynthesis",0.647550865368504,-0.070766,FALSE,NA
"7-epi-Paclitaxel","Terpenoid/ Taxane biosynthesis",0.657396249155823,-0.17118,FALSE,NA
"10-Deacetyl-7-xylosylpaclitaxel","Terpenoid/ Taxane biosynthesis",0.693641256410515,-0.071083,FALSE,NA
"Diflunisal","Xenobiotic/Drug metabolism",0.696607913315216,-0.076177,FALSE,NA
"Glycyrrhizate","Fatty acid/Lipid metabolism",0.700771910167129,-0.054621,FALSE,NA
"Acetylendicarboxylate","Fatty acid/Lipid metabolism",0.714442340719677,-0.059478,FALSE,NA
"Glycyrrhetinate","Fatty acid/Lipid metabolism",0.727471810322023,-0.091849,FALSE,NA
"Posthumulone","Natural product (marine/fungal)",0.728631336548961,-0.0927,FALSE,NA
"TRH","Other/Unclassified",0.746636356149523,-0.046643,FALSE,NA
"Ribostamycin","Cofactor/Vitamin/Antibiotic",0.764250729394267,-0.068802,FALSE,NA
"L-Saccharopine","Amino acid metabolism",0.795108569606086,-0.1113,FALSE,NA
"nPFOA","Other/Unclassified",0.84014849372273,-0.036885,FALSE,NA
"Sorbitol 6-phosphate","Carbohydrate metabolism",0.873150416998394,-0.013971,FALSE,NA
"102FTA","Other/Unclassified",0.882462596892695,-0.01584,FALSE,NA
"Apigenin","Flavonoid biosynthesis",0.921773237998212,0.050688,FALSE,NA
"Catechin-(4alpha->6)-gallocatechin","Flavonoid biosynthesis",0.961960646952732,0.45915,FALSE,NA
"Pelargonidin 3-O-rutinoside","Flavonoid biosynthesis",0.969279034512076,1.3701,FALSE,NA
"N-Glycolylneuraminate","Carbohydrate metabolism",0.970182189696994,0.097002,FALSE,NA
"Morin","Flavonoid biosynthesis",0.971357930692059,-0.0052283,FALSE,NA
"Geyerline","Natural product (marine/fungal)",0.979196169992233,1.3777,FALSE,NA
"Herbacetin 8-O-xylose-3-O-glucose","Flavonoid biosynthesis",0.996171964733883,-0.0089302,FALSE,NA
