category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GeneSet,Description_TR
Organismal Systems,Digestive system,hsa04979,Cholesterol metabolism,1/22,52/9399,0.019230769230769232,8.215909090909092,2.5272820125312623,0.11501975506431172,0.2802317860776062,0.24353068312741788,341,1,all_25,Kolesterol metabolizması
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,2/22,254/9399,0.007874015748031496,3.363994273443092,1.8499863599018578,0.11806851728475304,0.2802317860776062,0.24353068312741788,2902/53373,2,all_25,
Metabolism,Glycan biosynthesis and metabolism,hsa00510,N-Glycan biosynthesis,1/22,57/9399,0.017543859649122806,7.4952153110047846,2.382364183464529,0.1253879256805629,0.2802317860776062,0.24353068312741788,207063,1,all_25,N-Glukan biyosentezi
Metabolism,Global and overview maps,hsa01212,Fatty acid metabolism,1/22,57/9399,0.017543859649122806,7.4952153110047846,2.382364183464529,0.1253879256805629,0.2802317860776062,0.24353068312741788,9524,1,all_25,Yağ asidi metabolizması
Metabolism,Nucleotide metabolism,hsa00240,Pyrimidine metabolism,1/22,59/9399,0.01694915254237288,7.241140215716487,2.3292366239946527,0.12950264132020506,0.2802317860776062,0.24353068312741788,6241,1,all_25,Pirimidin metabolizması
Metabolism,Metabolism of other amino acids,hsa00480,Glutathione metabolism,1/22,59/9399,0.01694915254237288,7.241140215716487,2.3292366239946527,0.12950264132020506,0.2802317860776062,0.24353068312741788,6241,1,all_25,Glutatyon metabolizması
Environmental Information Processing,Signal transduction,hsa04370,VEGF signaling pathway,1/22,60/9399,0.016666666666666666,7.120454545454546,2.303595477129628,0.1315530633642048,0.2802317860776062,0.24353068312741788,123745,1,all_25,
Organismal Systems,Nervous system,hsa04730,Long-term depression,1/22,60/9399,0.016666666666666666,7.120454545454546,2.303595477129628,0.1315530633642048,0.2802317860776062,0.24353068312741788,123745,1,all_25,
Organismal Systems,Digestive system,hsa04978,Mineral absorption,1/22,61/9399,0.01639344262295082,7.003725782414307,2.278536202566852,0.13359887475792853,0.2802317860776062,0.24353068312741788,54822,1,all_25,Mineral emilimi
Organismal Systems,Nervous system,hsa04720,Long-term potentiation,1/22,67/9399,0.014925373134328358,6.37652645861601,2.1391878655426524,0.14577747106154548,0.298496726459355,0.25940351993407845,2902,1,all_25,
Organismal Systems,Immune system,hsa04664,Fc epsilon RI signaling pathway,1/22,69/9399,0.014492753623188406,6.191699604743082,2.0964783515438685,0.14980056329091318,0.29960112658182636,0.2603632801384293,123745,1,all_25,
Human Diseases,Infectious disease: bacterial,hsa05120,Epithelial cell signaling in Helicobacter pylori infection,1/22,71/9399,0.014084507042253521,6.017285531370039,2.055421171696402,0.15380556551970226,0.30061996897032717,0.26124868784447036,50617,1,all_25,
Metabolism,Xenobiotics biodegradation and metabolism,hsa00982,Drug metabolism - cytochrome P450,1/22,73/9399,0.0136986301369863,5.852428393524284,2.015904538246363,0.15779255523349522,0.30155910555734644,0.26206482857492774,1571,1,all_25,İlaç metabolizması - sitokrom P450
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,1/22,75/9399,0.013333333333333334,5.696363636363636,1.9778270792471855,0.16176160960250474,0.3024238788220741,0.2628163451207743,6241,1,all_25,p53 sinyal yolağı
Metabolism,Global and overview maps,hsa01232,Nucleotide metabolism,1/22,85/9399,0.011764705882352941,5.02620320855615,1.8060681728769052,0.1813405303102711,0.3318145873762407,0.28835784215071103,6241,1,all_25,Nükleotit metabolizması
Organismal Systems,Endocrine system,hsa04912,GnRH signaling pathway,1/22,93/9399,0.010752688172043012,4.59384164222874,1.6870035229588216,0.19668858694331393,0.34403137328446226,0.2989746328420664,123745,1,all_25,
Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,1/22,95/9399,0.010526315789473684,4.49712918660287,1.6593413292584456,0.2004824637088527,0.34403137328446226,0.2989746328420664,50617,1,all_25,
