ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GeneSet,Description_TR
BP,GO:0045429,positive regulation of nitric oxide biosynthetic process,1/17,42/18986,0.023809523809523808,26.591036414565824,4.9703185141724315,0.03696373091636129,0.09373948577770137,0.0532213408684007,ASL,1,Rpost_18,Nitrik oksit biyosentetik sürecinin pozitif düzenlenmesi
BP,GO:0010038,response to metal ion,2/17,345/18986,0.005797101449275362,6.474339300937766,3.0719503986172474,0.037407878429298505,0.09373948577770137,0.0532213408684007,SLC1A1/SLC6A3,2,Rpost_18,Metal iyonuna yanıt
BP,GO:0001662,behavioral fear response,1/17,43/18986,0.023255813953488372,25.972640218878247,4.907743444792848,0.037827942095332245,0.09373948577770137,0.0532213408684007,SLC1A1,1,Rpost_18,
BP,GO:0007595,lactation,1/17,43/18986,0.023255813953488372,25.972640218878247,4.907743444792848,0.037827942095332245,0.09373948577770137,0.0532213408684007,SLC6A3,1,Rpost_18,Laktasyon
BP,GO:0051938,L-glutamate import,1/17,43/18986,0.023255813953488372,25.972640218878247,4.907743444792848,0.037827942095332245,0.09373948577770137,0.0532213408684007,SLC1A1,1,Rpost_18,L-glutamat alımı
BP,GO:1904407,positive regulation of nitric oxide metabolic process,1/17,43/18986,0.023255813953488372,25.972640218878247,4.907743444792848,0.037827942095332245,0.09373948577770137,0.0532213408684007,ASL,1,Rpost_18,
BP,GO:0002209,behavioral defense response,1/17,44/18986,0.022727272727272728,25.38235294117647,4.847262940982163,0.03869142332768072,0.095413801215834,0.054171946815454876,SLC1A1,1,Rpost_18,
BP,GO:0015872,dopamine transport,1/17,45/18986,0.022222222222222223,24.818300653594775,4.788760541224113,0.03955417519144533,0.09639168412315634,0.05472714763726656,SLC6A3,1,Rpost_18,
BP,GO:1903426,regulation of reactive oxygen species biosynthetic process,1/17,45/18986,0.022222222222222223,24.818300653594775,4.788760541224113,0.03955417519144533,0.09639168412315634,0.05472714763726656,GRIN1,1,Rpost_18,Reaktif oksijen türleri biyosentetik sürecinin düzenlenmesi
BP,GO:0046942,carboxylic acid transport,2/17,357/18986,0.0056022408963585435,6.256714450486077,3.001658399143225,0.03980941376361938,0.09639168412315634,0.05472714763726656,SLC1A1/SLC25A15,2,Rpost_18,Karboksilik asit taşınımı
BP,GO:0015849,organic acid transport,2/17,358/18986,0.00558659217877095,6.239237594479133,2.995946375082914,0.040012193555631674,0.09639168412315634,0.05472714763726656,SLC1A1/SLC25A15,2,Rpost_18,Organik asit taşınımı
BP,GO:0001504,neurotransmitter uptake,1/17,46/18986,0.021739130434782608,24.278772378516624,4.732128675936878,0.04041619826423681,0.09639168412315634,0.05472714763726656,SLC6A3,1,Rpost_18,Nörotransmitter alımı
BP,GO:0030149,sphingolipid catabolic process,1/17,46/18986,0.021739130434782608,24.278772378516624,4.732128675936878,0.04041619826423681,0.09639168412315634,0.05472714763726656,GBA3,1,Rpost_18,Sfingolipit katabolik süreci
BP,GO:0042398,cellular modified amino acid biosynthetic process,1/17,46/18986,0.021739130434782608,24.278772378516624,4.732128675936878,0.04041619826423681,0.09639168412315634,0.05472714763726656,SLC1A1,1,Rpost_18,Hücresel modifiye amino asit biyosentetik süreci
BP,GO:0043010,camera-type eye development,2/17,362/18986,0.0055248618784530384,6.170295742606434,2.973313704059183,0.04082734748438731,0.09691725477602221,0.055025544568234754,SLC1A1/SLC6A3,2,Rpost_18,Kamera tipi göz gelişimi
