ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GeneSet
R-HSA-70635,Urea cycle,2/23,10/11146,0.2,96.9217391304348,13.798930234159744,1.814670524319815e-4,0.016193356586649325,0.01004795533354418,ASL/SLC25A15,2,all_25
R-HSA-8978868,Fatty acid metabolism,4/23,176/11146,0.022727272727272728,11.013833992094861,6.089005879084501,4.207036564637009e-4,0.016193356586649325,0.01004795533354418,ALOX15/ALOXE3/SLC25A20/TECR,4,all_25
R-HSA-9018677,Biosynthesis of DHA-derived SPMs,2/23,17/11146,0.11764705882352941,57.012787723785166,10.509367113249258,5.436337464777853e-4,0.016193356586649325,0.01004795533354418,ALOX15/CYP2E1,2,all_25
R-HSA-9018678,Biosynthesis of specialized proresolving mediators (SPMs),2/23,19/11146,0.10526315789473684,51.01144164759726,9.920878162107641,6.818255404904979e-4,0.016193356586649325,0.01004795533354418,ALOX15/CYP2E1,2,all_25
R-HSA-9748784,Drug ADME,3/23,110/11146,0.02727272727272727,13.216600790513832,5.855093906688102,0.0014344671839236175,0.025312020791727674,0.01570607384306648,CYP2E1/HSD11B1/NAT2,3,all_25
R-HSA-9753281,Paracetamol ADME,2/23,29/11146,0.06896551724137931,33.421289355322344,7.949292256306948,0.0015986539447406952,0.025312020791727674,0.01570607384306648,CYP2E1/NAT2,2,all_25
R-HSA-9840310,Glycosphingolipid catabolism,2/23,39/11146,0.05128205128205128,24.851727982162764,6.784951555714625,0.0028813959584365035,0.03910465943592398,0.024264387018412655,ARSD/GBA3,2,all_25
R-HSA-1660662,Glycosphingolipid metabolism,2/23,58/11146,0.034482758620689655,16.710644677661172,5.454744089648522,0.006276659683911686,0.06164334890509528,0.03824961261701203,ARSD/GBA3,2,all_25
R-HSA-983712,Ion channel transport,3/23,186/11146,0.016129032258064516,7.816269284712483,4.262760376604407,0.006333283771442727,0.06164334890509528,0.03824961261701203,ATP6V0A4/TPCN1/TRPM7,3,all_25
R-HSA-2142753,Arachidonic acid metabolism,2/23,59/11146,0.03389830508474576,16.427413411938097,5.40262825344011,0.0064887735689573975,0.06164334890509528,0.03824961261701203,ALOX15/ALOXE3,2,all_25
R-HSA-425366,"Transport of bile salts and organic acids, metal ions and amine compounds",2/23,84/11146,0.023809523809523808,11.538302277432711,4.408455419577494,0.012813828809358715,0.09961787839767622,0.06181275557085726,SLC44A1/SLC6A3,2,all_25
R-HSA-425407,SLC-mediated transmembrane transport,3/23,250/11146,0.012,5.815304347826087,3.501492371028944,0.014173121395064905,0.09961787839767622,0.06181275557085726,SLC1A1/SLC44A1/SLC6A3,3,all_25
R-HSA-5619102,SLC transporter disorders,2/23,98/11146,0.02040816326530612,9.88997338065661,4.019431682356495,0.01716878253900266,0.09961787839767622,0.06181275557085726,SLC1A1/SLC6A3,2,all_25
R-HSA-112315,Transmission across Chemical Synapses,3/23,270/11146,0.011111111111111112,5.384541062801932,3.3163809376593383,0.017397979284420904,0.09961787839767622,0.06181275557085726,GRIN1/SLC1A1/SLC6A3,3,all_25
R-HSA-428157,Sphingolipid metabolism,2/23,106/11146,0.018867924528301886,9.143560295324036,3.8306784455195495,0.01990261764577729,0.09961787839767622,0.06181275557085726,ARSD/GBA3,2,all_25
R-HSA-112311,Neurotransmitter clearance,1/23,10/11146,0.1,48.4608695652174,6.827537051767191,0.020452823062475867,0.09961787839767622,0.06181275557085726,SLC6A3,1,all_25
R-HSA-1483115,Hydrolysis of LPC,1/23,10/11146,0.1,48.4608695652174,6.827537051767191,0.020452823062475867,0.09961787839767622,0.06181275557085726,PLA2G4E,1,all_25
R-HSA-194002,Glucocorticoid biosynthesis,1/23,10/11146,0.1,48.4608695652174,6.827537051767191,0.020452823062475867,0.09961787839767622,0.06181275557085726,HSD11B1,1,all_25
R-HSA-9757110,Prednisone ADME,1/23,10/11146,0.1,48.4608695652174,6.827537051767191,0.020452823062475867,0.09961787839767622,0.06181275557085726,HSD11B1,1,all_25
R-HSA-2672351,Stimuli-sensing channels,2/23,109/11146,0.01834862385321101,8.891902672516952,3.764977924800641,0.020972184925826573,0.09961787839767622,0.06181275557085726,TPCN1/TRPM7,2,all_25
R-HSA-211999,CYP2E1 reactions,1/23,11/11146,0.09090909090909091,44.055335968379445,6.49637670179854,0.022475953905647827,0.10167693433507351,0.06309039692813424,CYP2E1,1,all_25
R-HSA-9634600,"Regulation of glycolysis by fructose 2,6-bisphosphate metabolism",1/23,12/11146,0.08333333333333333,40.38405797101449,6.206953078779249,0.024495087543741412,0.1057742416661561,0.06563277045213009,PFKFB1,1,all_25
R-HSA-1663150,The activation of arylsulfatases,1/23,13/11146,0.07692307692307693,37.27759197324415,5.951096727934099,0.02651023151594345,0.10903813393017331,0.06765801108132638,ARSD,1,all_25
R-HSA-200425,Carnitine metabolism,1/23,14/11146,0.07142857142857142,34.61490683229813,5.722717619510367,0.028521393347896495,0.10903813393017331,0.06765801108132638,SLC25A20,1,all_25
R-HSA-1483206,Glycerophospholipid biosynthesis,2/23,129/11146,0.015503875968992248,7.513313110886417,3.383437219956507,0.02869424577109824,0.10903813393017331,0.06765801108132638,PLA2G4E/SLC44A1,2,all_25
R-HSA-1482922,Acyl chain remodelling of PI,1/23,17/11146,0.058823529411764705,28.506393861892583,5.160871343911044,0.034531061056021106,0.11431255070490266,0.07093077938475954,PLA2G4E,1,all_25
R-HSA-71291,Metabolism of amino acids and derivatives,3/23,367/11146,0.008174386920980926,3.9613789835327564,2.623196184119661,0.038495513064654596,0.11431255070490266,0.07093077938475954,ASL/SLC25A15/SLC44A1,3,all_25
R-HSA-442660,Na+/Cl- dependent neurotransmitter transporters,1/23,19/11146,0.05263157894736842,25.50572082379863,4.861252996477269,0.03851773285627724,0.11431255070490266,0.07093077938475954,SLC6A3,1,all_25
R-HSA-8963898,Plasma lipoprotein assembly,1/23,19/11146,0.05263157894736842,25.50572082379863,4.861252996477269,0.03851773285627724,0.11431255070490266,0.07093077938475954,APOC1,1,all_25
R-HSA-2142691,Synthesis of Leukotrienes (LT) and Eoxins (EX),1/23,21/11146,0.047619047619047616,23.076604554865423,4.60452570519654,0.04248865556507142,0.11431255070490266,0.07093077938475954,ALOX15,1,all_25
R-HSA-442982,Ras activation upon Ca2+ influx through NMDA receptor,1/23,21/11146,0.047619047619047616,23.076604554865423,4.60452570519654,0.04248865556507142,0.11431255070490266,0.07093077938475954,GRIN1,1,all_25
