ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,GeneSet
MF,GO:0044769,"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism",1/25,24/18737,0.041666666666666664,31.22833333333333,5.416221957358145,0.031554703735611866,0.059416835757481926,0.022614793270763264,ATP6V0A4,1,all_25
MF,GO:0046961,"proton-transporting ATPase activity, rotational mechanism",1/25,24/18737,0.041666666666666664,31.22833333333333,5.416221957358145,0.031554703735611866,0.059416835757481926,0.022614793270763264,ATP6V0A4,1,all_25
MF,GO:0015296,monoatomic anion:monoatomic cation symporter activity,1/25,25/18737,0.04,29.979200000000002,5.299618785936729,0.03284851725597826,0.061201974255875286,0.023294239383740818,SLC6A3,1,all_25
MF,GO:0008066,glutamate receptor activity,1/25,26/18737,0.038461538461538464,28.826153846153847,5.1896694320480865,0.034140671331897576,0.062297926038617224,0.023711372384606022,GRIN1,1,all_25
MF,GO:0070330,aromatase activity,1/25,26/18737,0.038461538461538464,28.826153846153847,5.1896694320480865,0.034140671331897576,0.062297926038617224,0.023711372384606022,CYP2E1,1,all_25
MF,GO:0016747,"acyltransferase activity, transferring groups other than amino-acyl groups",2/25,224/18737,0.008928571428571428,6.6917857142857144,3.1324380352584247,0.03563875509715939,0.06436795563466544,0.024499251624255654,NAT2/PLA2G4E,2,all_25
MF,GO:0016866,intramolecular transferase activity,1/25,28/18737,0.03571428571428571,26.767142857142858,4.987332604735984,0.03672000930730923,0.06565092573124984,0.02498756614213494,ALOXE3,1,all_25
MF,GO:0005416,amino acid:monoatomic cation symporter activity,1/25,29/18737,0.034482758620689655,25.844137931034485,4.893928148471168,0.03800719727926494,0.06623632294716092,0.025210375668262255,SLC1A1,1,all_25
MF,GO:0043325,"phosphatidylinositol-3,4-bisphosphate binding",1/25,29/18737,0.034482758620689655,25.844137931034485,4.893928148471168,0.03800719727926494,0.06623632294716092,0.025210375668262255,PLA2G4E,1,all_25
MF,GO:0005217,intracellularly ligand-gated monoatomic ion channel activity,1/25,30/18737,0.03333333333333333,24.982666666666663,4.805121398190366,0.03929273395170563,0.06623632294716092,0.025210375668262255,TPCN1,1,all_25
MF,GO:0031210,phosphatidylcholine binding,1/25,30/18737,0.03333333333333333,24.982666666666663,4.805121398190366,0.03929273395170563,0.06623632294716092,0.025210375668262255,APOC1,1,all_25
MF,GO:0033764,"steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",1/25,30/18737,0.03333333333333333,24.982666666666663,4.805121398190366,0.03929273395170563,0.06623632294716092,0.025210375668262255,HSD11B1,1,all_25
MF,GO:0051721,protein phosphatase 2A binding,1/25,30/18737,0.03333333333333333,24.982666666666663,4.805121398190366,0.03929273395170563,0.06623632294716092,0.025210375668262255,SLC6A3,1,all_25
MF,GO:0005310,dicarboxylic acid transmembrane transporter activity,1/25,31/18737,0.03225806451612903,24.176774193548386,4.720540306884897,0.040576621354880826,0.06712207457770006,0.025547503853540314,SLC1A1,1,all_25
MF,GO:0070273,phosphatidylinositol-4-phosphate binding,1/25,31/18737,0.03225806451612903,24.176774193548386,4.720540306884897,0.040576621354880826,0.06712207457770006,0.025547503853540314,PLA2G4E,1,all_25
MF,GO:0016628,"oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor",1/25,32/18737,0.03125,23.42125,4.6398537628329235,0.04185886151665419,0.06860202304118325,0.02611079080960885,TECR,1,all_25
MF,GO:0016229,steroid dehydrogenase activity,1/25,33/18737,0.030303030303030304,22.71151515151515,4.562765970173441,0.04313945646250161,0.07005214489782371,0.02666272538483924,HSD11B1,1,all_25
MF,GO:0019825,oxygen binding,1/25,34/18737,0.029411764705882353,22.04352941176471,4.489011744794854,0.044418408215519345,0.07147325685588113,0.02720361842864343,CYP2E1,1,all_25
MF,GO:0004623,phospholipase A2 activity,1/25,35/18737,0.02857142857142857,21.413714285714285,4.418352554367536,0.045695718796421536,0.07157647988466029,0.027242906408672368,PLA2G4E,1,all_25
MF,GO:0005343,organic acid:sodium symporter activity,1/25,35/18737,0.02857142857142857,21.413714285714285,4.418352554367536,0.045695718796421536,0.07157647988466029,0.027242906408672368,SLC1A1,1,all_25
MF,GO:0016709,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen",1/25,35/18737,0.02857142857142857,21.413714285714285,4.418352554367536,0.045695718796421536,0.07157647988466029,0.027242906408672368,CYP2E1,1,all_25
